player_id,jugador,equipo,dorsal,posicion_id,es_portero,FotMob rating,Minutes played,Goals,Assists,Accurate passes,Chances created,Shotmap,Defensive actions,Touches,Touches in opposition box,Accurate long balls,Dispossessed,Tackles,Blocks,Clearances,Headed clearance,Interceptions,Recoveries,Dribbled past,Ground duels won,Aerial duels won,Was fouled,Fouls committed,Duels won,Duels lost,Passes into final third,Accurate crosses,Shots on target,Shots off target,Shot accuracy,Successful dribbles,Offsides,Big chances created,Blocked shots,Corners,Saves,Goals conceded,Diving save,Saves inside box,Acted as sweeper,Punches,Throws,High claim
1048042,Oslimg Mora,Sport Boys,24,64,False,6.25,90.0,0.0,0.0,23.0,0.0,0.0,4.0,39.0,0.0,1.0,0.0,1.0,0.0,0.0,,3.0,7.0,1.0,2.0,0.0,,0.0,2.0,1.0,4.0,,,,,1.0,,,,,,,,,,,,
1053398,Carlos Liza,Sport Boys,30,,False,,5.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,
1118167,Agustín Graneros,Deportivo Garcilaso,29,,False,5.94,17.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,2.0,,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,1.0,0.0,1.0,,,,,,,,,,,,,
1130782,Orlando Núñez,Deportivo Garcilaso,16,38,False,7.18,90.0,0.0,0.0,54.0,3.0,0.0,0.0,76.0,1.0,3.0,0.0,0.0,0.0,0.0,,0.0,6.0,1.0,4.0,0.0,4.0,1.0,4.0,3.0,8.0,2.0,,,,,,,,,,,,,,,,
1249298,Patrick Zubczuk,Deportivo Garcilaso,1,11,True,5.72,90.0,,,20.0,,1.0,0.0,29.0,,10.0,,0.0,,0.0,,0.0,3.0,,,,,0.0,,,6.0,,,,,,,,,,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0
1254284,Jostin Alarcón,Sport Boys,10,87,False,6.84,72.0,0.0,0.0,14.0,0.0,1.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,8.0,0.0,4.0,0.0,4.0,0.0,4.0,,2.0,0.0,0.0,2.0,0.0,,,,,1.0,,,,,,,,
1334883,Adrián Ascues,Deportivo Garcilaso,27,,False,5.96,28.0,0.0,0.0,9.0,0.0,1.0,0.0,16.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1.0,,3.0,2.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,
1339290,Rolando Díaz,Sport Boys,14,,False,6.06,18.0,0.0,0.0,3.0,0.0,0.0,2.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,,1.0,1.0,0.0,0.0,1.0,,2.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,
1366174,Diego Melián,Sport Boys,22,11,True,5.25,90.0,,,19.0,,1.0,1.0,29.0,,9.0,,0.0,,1.0,,0.0,6.0,,,,,0.0,,,3.0,,,,,,,,,,1.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0
1386691,Erick Canales,Deportivo Garcilaso,55,32,False,6.49,85.0,0.0,0.0,20.0,0.0,1.0,3.0,42.0,1.0,,0.0,1.0,0.0,0.0,,2.0,4.0,0.0,2.0,0.0,1.0,2.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,,,,1.0,,,,,,,,,
1432954,André Vásquez,Sport Boys,20,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1432958,Xavi Moreno,Deportivo Garcilaso,23,64,False,6.54,62.0,0.0,0.0,27.0,0.0,0.0,2.0,33.0,0.0,2.0,0.0,0.0,0.0,0.0,,2.0,4.0,2.0,0.0,2.0,,1.0,2.0,4.0,4.0,,,,,,,,,,,,,,,,,
1433071,Juan Torres,Sport Boys,80,,False,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,1.0,,,,,,,,,,,,,,,,,
1437868,Mathías Llontop,Sport Boys,13,38,False,5.96,89.0,0.0,0.0,20.0,2.0,0.0,5.0,36.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,3.0,3.0,5.0,1.0,,,,,,,,1.0,,,,,,,,
1502876,Alexis Huamán,Sport Boys,21,,False,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,
1607382,Juan Gonzáles,Sport Boys,23,,False,5.87,18.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,1.0,,,,,0.0,,,,,,,,,,,,
1626897,Samir Villacorta,Deportivo Garcilaso,33,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1671046,Sebastián Alvarado,Sport Boys,35,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1715199,Inti Garrafa,Deportivo Garcilaso,6,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
